ID;Sustantivo;Autor;Cita;Forma;Siglo;Texto;Caso;Número;Preposición;Adjetivo Núcleo;Participio;Verbo;Colocación
118;timor;César;Gall. 1, 27, 4, 3;prosa;s. I a. C.;dum ea conquiruntur et conferuntur nocte intermissa, circiter hominum milia sex eius pagi qui Verbigenus appellatur, sive timore perterriti, ne armis traditis supplicio adficerentur, sive spe salutis inducti quod in tanta multitudine dediticiorum suam fugam aut occultari aut omnino ignorari posse existimarent, prima nocte e castris Helvetiorum egressi ad Rhenum finesque Germanorum contenderunt. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
119;timor;César;Gall. 6, 37, 9, 1;prosa;s. I a. C.;tali timore omnibus perterritis confirmatur opinio barbaris, ut ex captivo audierant, nullum esse intus praesidium. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
120;timor;César;Gall. 7, 26, 5, 1;prosa;s. I a. C.;quo timore perterriti Galli, ne ab equitatu Romanorum viae praeoccuparentur, consilio destiterunt. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
121;odium;César;Civ. 2.13.3;prosa;s. I a.C.;"Caesar enim per litteras Trebonio magnopere mandaverat, ne per vim oppidum expugnari pateretur, ne gravius permoti milites et defectionis odio et contemptione sui et diutino labore omnes puberes interficerent; quod se facturos minabantur";ablativo;Singular;;permotus;SÍ;permoveo;SÍ
123;timor;César;Gall. 4, 15, 2, 4;prosa;s. I a. C.;Germani post tergum clamore audito cum suos interfici viderent, armis abiectis signisque militaribus relictis se ex castris eiecerunt et, cum ad confluentem Mosae et Rheni pervenissent, reliqua fuga desperata magno numero interfecto reliqui se in flumen praecipitaverunt atque ibi timore lassitudine vi fluminis oppressi perierunt. ;ablativo;Singular;;oppressus;SÍ;opprimo;SÍ
125;timor;César;Gall. 7, 43, 3, 3;prosa;s. I a. C.;"haec faciunt recuperandorum suorum causa; sed contaminati facinore et capti compendio ex direptis bonis, quod ea res ad multos pertinebat, et timore poenae exterriti consilia clam de bello inire incipiunt civitatesque reliquas legationibus sollicitant. ";ablativo;Singular;;exterritus;SÍ;exterreo;SÍ
126;timor;César;Gall. 7, 77, 11, 3;prosa;s. I a. C.;si illorum nuntiis confirmari non potestis omni aditu praesaepto, his utimini testibus adpropinquare eorum adventum, cuius rei timore exterriti diem noctemque in opere versantur. ;ablativo;Singular;;exterritus;SÍ;exterreo;SÍ
130;invidia;César;civ. 1, 7, 1, 4;prosa;s. I a. C.;"omnium temporum iniurias inimicorum in se commemorat; a quibus deductum ac depravatum Pompeium queritur invidia atque obtrectatione laudis suae, cuius ipse honori et dignitati semper faverit adiutorque fuerit.";ablativo;Singular;;deductus;SÍ;deduco;SÍ
131;timor;César;civ. 3, 64, 2, 2;prosa;s. I a. C.;"itaque quodcumque addebatur subsidio, id corruptum timore fugientium terrorem et periculum augebat; hominum enim multitudine receptus impediebatur. ";ablativo;Singular;;corruptus;SÍ;corripio;SÍ
136;timor;César;civ. 2, 20, 3, 4;prosa;s. I a. C.;hoc timore adductum Gallonium Gadibus excessisse. ;ablativo;Singular;;adductus;SÍ;adduco;SÍ
137;timor;César;civ. 3, 104, 1, 3;prosa;s. I a. C.;"His tum cognitis rebus amici regis, qui propter aetatem eius in procuratione erant regni, sive timore adducti, ut postea praedicabant, sollicitato exercitu regio, ne Pompeius Alexandriam Aegyptumque occuparet, sive despecta eius fortuna, ut plerumque in calamitate ex amicis inimici exsistunt, iis qui erant ab eo missi, palam liberaliter responderunt eumque ad regem venire iusserunt; ipsi clam consilio inito Achillam, praefectum regium, singulari hominem audacia, et L. Septimium tribunum militum ad interficiendum Pompeium miserunt. ";ablativo;Singular;;adductus;SÍ;adduco;SÍ
138;timor;César;civ. 3, 45, 5, 3;prosa;s. I a. C.;illi autem hoc acrius instabant neque regredi nostros patiebantur, quod timore adducti locum relinquere videbantur. ;ablativo;Singular;;adductus;SÍ;adduco;SÍ
139;invidia;César;Gall. 7, 77, 15, 2;prosa;s. I a. C.;Romani vero quid petunt aliud aut quid volunt nisi invidia adducti quos fama nobiles potentesque bello cognoverunt, horum in agris civitatibusque considere atque his aeternam iniungere servitutem?;ablativo;Singular;;adductus;SÍ;adduco;SÍ
143;timor;César;civ. 2, 41, 8, 5;prosa;s. I a. C.;plena erant omnia timoris et luctus. ;genitivo;Singular;;plenus;NO;;SÍ
144;timor;César;civ. 3, 69, 4, 5;prosa;s. I a. C.;sinistro cornu milites cum ex vallo Pompeium adesse et suos fugere cernerent, veriti ne angustiis intercluderentur, cum extra et intus hostem haberent, eodem quo venerant receptu sibi consulebant, omniaque erant tumultus timoris fugae plena, adeo ut, cum Caesar signa fugientium manu prenderet et consistere iuberet, alii dimissis equis eundem cursum confugerent, alii ex metu etiam signa dimitterent, neque quisquam omnino consisteret. ;genitivo;Singular;;plenus;NO;;SÍ
159;gaudium;Cicerón;Pro Murena 51, 14;prosa;s. I a. C.;Erupit e senatu triumphans gaudio quem omnino vivum illinc exire non oportuerat, praesertim cum idem ille in eodem ordine paucis diebus ante Catoni, fortissimo viro, iudicium minitanti ac denuntianti respondisset, si quod esset in suas fortunas incendium excitatum, id se non aqua sed ruina restincturum. ;ablativo;Singular;;triumphans;SÍ;triumpho;SÍ
160;invidia;Cicerón;De Lege Agraria 2, 68, 15;prosa;s. I a. C.;Qui paulo ante diem noctemque tribunicium nomen horrebant, vestram vim metuebant, mentionem legis agrariae pertimescebant, ei nunc etiam ultro rogabuntur atque orabuntur ut agros partim publicos, partim plenos invidiae, plenos periculi quanti ipsi velint Xviris tradant. ;genitivo;Singular;;plenus;NO;trado;SÍ
170;odium;Cicerón;Cluent. 12;prosa;s. I a.C.;quo enim est ipsum nomen amantius indulgentiusque maternum, hoc illius matris quae multos iam annos et nunc cum maxime filium interfectum cupit singulare scelus maiore odio dignum esse ducetis;dativo;Singular;;dignus;NO;sum;SÍ
174;timor;Cicerón;De Lege Agraria 2, 8, 3;prosa;s. I a. C.;"Ego qualem Kalendis Ianuariis acceperim rem publicam, Quirites, intellego, plenam sollicitudinis, plenam timoris; in qua nihil erat mali, nihil adversi quod non boni metuerent, improbi exspectarent; omnia turbulenta consilia contra hunc rei publicae statum et contra vestrum otium partim iniri, partim nobis consulibus designatis inita esse dicebantur; sublata erat de foro fides non ictu aliquo novae calamitatis, sed suspicione ac perturbatione iudiciorum, infirmatione rerum iudicatarum; novae dominationes, extraordinaria non imperia, sed regna quaeri putabantur. ";genitivo;Singular;;plenus;NO;sum;SÍ
176;laetitia;Cicerón;De orat. 1, 243, 9;prosa;s. I a.C.;"Ac mea quidem sententia – frequens enim / te audivi atque adfui – multo maiorem partem sententiarum / sale tuo et lepore et politissimis facetiis pellexisti, cum et / illud nimium acumen inluderes et admirarere ingenium / Scaevolae qui excogitasset nasci prius oportere quam emori; / cumque multa conligeres et ex legibus et ex senatus consultis / et ex vita ac sermone communi non modo acute sed etiam / ridicule ac facete, ubi si verba, non rem sequeremur, confici / nihil posset: itaque hilaritatis plenum iudicium ac laetitiae / fuit; in quo quid tibi iuris civilis exercitatio profuerit, non / intellego; dicendi vis egregia, summa festivitate et venustate / coniuncta, profuit.";genitivo;Singular;;plenus;NO;sum;SÍ
177;laetitia;Cicerón;De orat. 2, 209, 4;prosa;s. I a.C.;"Par / atque una ratio est spei, laetitiae, molestiae; sed haud sciam / an acerrimus longe sit omnium motus invidiae nec minus / virium opus sit in ea comprimenda quam in excitanda.";dativo;Singular;;par;NO;sum;NO
184;odium;Cicerón;fam. 12.16.3;prosa;s. I a.C.;cum, etiam si odio par fuerit in eos quos laesit, tamen certe non magis dignos habuerit in quos tanta libertate verborum incurreret.;ablativo;Singular;;par;NO;sum;NO
199;odium;Cicerón;off. 1.41;prosa;s. I a.C.;"Cum autem duobus modis, id est aut vi aut fraude, fiat iniuria, fraus quasi vulpeculae, vis leonis videtur; utrumque homine alienissimum, sed fraus odio digna maiore";ablativo;Singular;;dignus;NO;sum;SÍ
202;laetitia;Cicerón;Phil. 8, 10, 9;prosa;s. I a.C.;Antoni igitur pro/ missa cruenta, taetra, scelerata, dis hominibusque invisa, nec / diuturna neque salutaria: nostra contra honesta, integra, / gloriosa, plena laetitiae, plena pietatis.;genitivo;Singular;;plenus;NO;sum;SÍ
208;timor;Cicerón;Pro Sulla 12, 9;prosa;s. I a. C.;"Ergo istius coniurationis crimen defensum ab eo est qui interfuit, qui cognovit, qui particeps et consili vestri fuit et timoris; cuius in hoc crimine propulsando cum esset copiosissima atque ornatissima oratio, tamen non minus inerat auctoritatis in ea quam facultatis. ";genitivo;Singular;;particeps;SÍ;sum;SÍ
211;laetitia;Cicerón;Tusc. 4, 66, 9;prosa;s. I a.C.;"eodem enim / vitio est ecfusio animi in laetitia quo in dolore contrac/ tio, eademque levitate cupiditas est in appetendo qua / laetitia in fruendo, et ut nimis adflicti molestia, sic / nimis elati laetitia iure iudicantur leves; et, cum in/ videre aegritudinis sit, malis autem alienis voluptatem / capere laetitiae, utrumque immanitate et feritate qua/ dam proponenda castigari solet; atque ut cavere decet, / timere non decet, sic gaudere decet, laetari non decet, / quoniam docendi causa a gaudio laetitiam distingui/ mus";genitivo;Singular;;elatus;SÍ;sum;SÍ
213;gaudium;Cicerón;Tusculanae Disputationes 5, 67, 8;prosa;s. I a. C.;hinc omnia, quae pulchra honesta praeclara sunt, ut supra dixi, sed dicendum idem illud paulo uberius videtur, plena gaudiorum sunt. ;genitivo;Plural;;plenus;NO;sum;SÍ
239;invidia;Cicerón;Philippicae 14, 17, 6;prosa;s. I a. C.;Haec interposui, patres conscripti, non tam ut pro me dixerim – male enim mecum ageretur, si parum vobis essem sine defensione purgatus – quam ut quosdam nimis ieiuno animo et angusto monerem, id quod semper ipse fecissem, uti excellentium civium virtutem imitatione dignam, non invidia putarent. ;ablativo;Singular;;dignus;NO;puto;SÍ
240;odium;Cicerón;Phil. 7.25;prosa;s. I a.C.;Omnia videbitis, patres conscripti, nisi prospicitis, plena odiorum, plena discordiarum, ex quibus oriuntur bella civilia.;genitivo;Plural;;plenus;NO;prospicio;SÍ
243;odium;Cicerón;Deiot. 10;prosa;s. I a.C.;Neque enim ille odio tui progressus, sed errore communi lapsus est.;ablativo;Singular;;progressus;SÍ;progredior;SÍ
247;timor;Cicerón;De Divinatione 1, 58, 7;prosa;s. I a. C.;"praeessem, vidisse in quiete, cum tu equo advectus ad quandam magni fluminis ripam provectus subito atque delapsus in flumen nusquam apparuisses, me contremuisse timore perterritum; tum te repente laetum exstitisse eodemque equo adversam ascendisse ripam, nosque inter nos esse conplexos. ";ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
248;timor;Cicerón;Pro Sestio 40, 15;prosa;s. I a. C.;Illi autem aliquo tum timore perterriti, quod acta illa atque omnis res anni superioris labefactari a praetoribus, infirmari a senatu atque a principibus civitatis putabant, tribunum popularem a se alienare nolebant, suaque sibi propiora esse pericula quam mea loquebantur. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
249;timor;Cicerón;Rhetorica ad Herennium [sp.] 4, 68, 32;prosa;s. I a. C.;Deinde vaga multitudo, subito timore perterrita, fugere coepit. ;ablativo;Singular;;perterritus;SÍ;perterreo;SÍ
250;odium;Cicerón;Catil. 1.16;prosa;s. I a.C.;Sic enim iam tecum loquar, non ut odio permotus esse videar, quo debeo, sed ut misericordia, quae tibi nulla debetur.;ablativo;Singular;;perterritus;SÍ;permoveo;SÍ
252;laetitia;Cicerón;fin. 5, 70, 3;prosa;s. I a. C.;quem enim deditum voluptatibus, quem cupiditatum incendiis inflammatum in iis potiendis, quae acerrime / concupivisset, tanta laetitia perfundi arbitramur, quanta aut superiorem Africanum Hannibale victo aut / posteriorem Karthagine eversa?;ablativo;Singular;;perfundus;SÍ;perfundo;SÍ
256;timor;Cicerón;Epistulae ad Familiares 12, 15, 3, 2;prosa;s. I a. C.;huius rei timore, p. c., percitus iniurias perpeti et cum contumelia etiam nostra omnia prius experiri malui. ;ablativo;Singular;;percitus;SÍ;percieo;SÍ
257;timor;Cicerón;Epistulae ad Brutum 9, 2, 2;prosa;s. I a. C.;Triduo vero aut quadriduo ante hanc rem pulcherrimam timore quodam perculsa civitas tota ad te se cum coniugibus et liberis effundebat. ;ablativo;Singular;;perculsus;SÍ;percello;SÍ
258;invidia;Cicerón;Brutus 127, 5;prosa;s. I a. C.;nam rogatione Mamilia Iugurthinae coniurationis inuidia, cum pro sese ipse dixisset, oppressus est. ;ablativo;Singular;;oppressus;SÍ;opprimo;SÍ
259;invidia;Cicerón;In Catilinam 2, 4, 3;prosa;s. I a. C.;Sed cum viderem, ne vobis quidem omnibus etiam tum re probata si illum, ut erat meritus, morte multassem, fore ut eius socios inuidia oppressus persequi non possem, rem huc deduxi ut tum palam pugnare possetis cum hostem aperte videretis. ;ablativo;;;oppressus;SÍ;opprimo;SÍ
260;timor;Cicerón;Rhetorica ad Herennium [sp.] 4, 65, 12;prosa;s. I a. C.;"Sermocinatio est, cum alicui personae sermo adtribuitur et is exponitur cum ratione dignitatis, hoc pacto: Cum militibus urbs redundaret et omnes timore obpressi domi continerentur, venit iste cum sago, gladio succinctus, tenens iaculum; <III> adulescentes hominem simili ornatu subsecuntur. ";ablativo;Singular;;oppressus;SÍ;opprimo;SÍ
281;timor;Cicerón;Pro Rege Deiotaro 39, 10;prosa;s. I a. C.;Laboro equidem regis Deiotari causa quocum mihi amicitiam res publica conciliavit, hospitium voluntas utriusque coniunxit, familiaritatem consuetudo attulit, summam vero necessitudinem magna eius officia in me et in exercitum meum effecerunt: sed cum de illo laboro, tum de multis amplissimis viris quibus semel ignotum a te esse oportet, nec tuum beneficium in dubium vocari, nec haerere in animis hominum sollicitudinem sempiternam, nec accidere ut quisquam te timere incipiat eorum qui sint semel a te liberati timore.;ablativo;Singular;;liberatus;SÍ;libero;SÍ
285;gaudium;Cicerón;Pro Sestio 117, 7;prosa;s. I a.C.;Quo quidem tempore quid populus Romanus sentire se ostenderet utroque in genere declaratum est: primum cum audito senatus consulto rei ipsi atque absenti senatui plausus est ab universis datus, deinde cum senatoribus singulis spectatum e senatu redeuntibus: cum vero ipse qui ludos faciebat consul adsedit, stantes ei manibus passis gratias agentes et lacrimantes gaudio suam erga me benivolentiam ac misericordiam declararunt. ;ablativo;Singular;;lacrimans;SÍ;lacrimo;SÍ
291;laetitia;Cicerón;Phil. 14, 15, 2;prosa;s. I a. C.;Cum, ut scitis, hoc triduo vel quadriduo tristis a / Mutina fama manaret, inflati laetitia atque insolentia impii / cives unum se in locum, ad illam curiam furiis potius suis / quam rei publicae infelicem congregabant.;ablativo;Singular;;inflatus;SÍ;inflo;SÍ
292;odium;Cicerón;Manil. 21;prosa;s. I a.C.;Ab eodem imperatore classem magnam et ornatam quae ducibus Sertorianis ad Italiam studio atque odio inflammata raperetur superatam esse atque depressam;ablativo;Singular;;inflammatus;SÍ;inflammo;SÍ
293;odium;Cicerón;Mil. 78;prosa;s. I a.C.;Non timeo, iudices, ne odio mearum inimicitiarum inflammatus libentius haec in illum evomere videar quam verius;ablativo;Singular;;inflammatus;SÍ;inflammo;SÍ
